ID,School_Name,System_ID,Type,School_Phone,Enrollment_Count,Teacher_Count,Teachers_Less_Than_1_Year_Experience_(%),Teachers_Between_1_and_10_Years_Experience_(%),Teachers_Between_11_and_20_Years_Experience_(%),Teachers Between_21_and_30_Years_Experience_(%),Teachers_Greater_Than_30_Years_Experience_(%)
1763,Lake Forest Hills Elementary School,721,Elementary School,706.737.7317,530.0,39.0,0.0,33.0,31.0,23.0,13.0
1764,Spirit Creek Middle School,721,Middle School,706.592.3987,564.0,32.0,13.0,31.0,41.0,16.0,0.0
1765,Performance Learning Center,721,High School,706.796.4965,355.0,12.0,8.0,25.0,33.0,25.0,8.0
1766,W.S. Hornsby Elementary School,721,Elementary School,706.823.6928,492.0,31.0,16.0,55.0,7.0,23.0,0.0
1767,Belair K-8 School,721,Elementary School,706.821.2766,877.0,47.0,6.0,38.0,36.0,17.0,2.0
1771,Butler High School,721,High School,706.796.4959,892.0,47.0,9.0,43.0,34.0,13.0,2.0
1772,Garrett Elementary School,721,Elementary School,706.737.7222,342.0,26.0,4.0,12.0,46.0,23.0,15.0
1773,Langford Middle School,721,Middle School,706.737.7301,747.0,39.0,5.0,54.0,28.0,10.0,3.0
1774,Walker Traditional Elementary School,721,Elementary School,706.823.6950,750.0,45.0,2.0,36.0,33.0,24.0,4.0
1775,Hephzibah Middle School,721,Middle School,706.592.4534,393.0,25.0,12.0,44.0,24.0,20.0,0.0
1776,Barton Chapel Elementary School,721,Elementary School,706.796.4955,442.0,26.0,4.0,42.0,31.0,15.0,8.0
1777,Copeland Elementary School,721,Elementary School,706.737.7228,497.0,31.0,3.0,55.0,23.0,10.0,10.0
1778,Glenn Hills Elementary School,721,Elementary School,706.796.4942,420.0,25.0,12.0,44.0,28.0,12.0,4.0
1779,Hephzibah High School,721,High School,706.592.2089,965.0,54.0,15.0,44.0,30.0,7.0,4.0
1780,Merry Elementary School,721,Elementary School,706.737.7185,415.0,28.0,4.0,50.0,21.0,21.0,4.0
1781,Warren Road Elementary School,721,Elementary School,706.868.4022,585.0,34.0,0.0,44.0,32.0,21.0,3.0
1782,Westside High School,721,High School,706.868.4030,853.0,51.0,10.0,31.0,35.0,22.0,2.0
1783,Bayvale Elementary School,721,Elementary School,706.737.7255,384.0,26.0,8.0,39.0,39.0,15.0,0.0
1784,Glenn Hills High School,721,High School,706.796.4924,638.0,41.0,12.0,44.0,27.0,12.0,5.0
1785,Johnson Magnet,721,High School,706.823.6933,698.0,42.0,7.0,26.0,33.0,24.0,10.0
1786,Josey High School,721,High School,706.737.7360,553.0,37.0,8.0,38.0,35.0,16.0,3.0
1787,Blythe Elementary School,721,Elementary School,706.592.4090,246.0,19.0,0.0,11.0,32.0,42.0,16.0
1788,Gracewood Elementary School,721,Elementary School,706.796.4969,540.0,31.0,3.0,36.0,55.0,7.0,0.0
1789,Monte Sano Elementary School,721,Elementary School,706.481.1813,442.0,25.0,4.0,28.0,32.0,36.0,0.0
1790,Academy of Richmond County High School,721,High School,706.737.7152,1175.0,70.0,14.0,23.0,44.0,13.0,6.0
1792,Davidson Magnet School,721,High School,706.823.6924,826.0,44.0,5.0,32.0,18.0,41.0,5.0
1793,Terrace Manor Elementary School,721,Elementary School,706.796.4910,418.0,26.0,4.0,19.0,42.0,27.0,8.0
1794,Dorothy Hains Elementary School,721,Elementary School,706.796.4918,564.0,34.0,3.0,38.0,38.0,21.0,0.0
1795,Murphey Middle School,721,Middle School,706.737.7360,757.0,38.0,13.0,42.0,32.0,11.0,3.0
1796,Tutt Middle School,721,Middle School,706.737.7288,441.0,28.0,14.0,36.0,25.0,25.0,0.0
1797,Laney High School,721,High School,706.823.6900,586.0,38.0,0.0,45.0,26.0,26.0,3.0
1798,Peek's Chapel Elementary,722,Elementary School,770.761.1842,606.0,45.0,0.0,44.0,36.0,18.0,2.0
1799,General Ray Davis Middle School,722,Middle School,770.388.5675,1144.0,79.0,0.0,42.0,35.0,17.0,6.0
1800,Hicks Elementary School,722,Elementary School,770.483.4410,884.0,69.0,0.0,44.0,39.0,13.0,4.0
1801,Honey Creek Elementary School,722,Elementary School,770.483.5706,611.0,42.0,0.0,52.0,31.0,14.0,2.0
1802,Heritage High School,722,High School,770.483.5428,1857.0,96.0,0.0,38.0,37.0,21.0,5.0
1803,Barksdale Elementary School,722,Elementary School,770.483.9514,510.0,42.0,0.0,41.0,31.0,21.0,7.0
1804,Sims Elementary School,722,Elementary School,770.922.0666,548.0,44.0,0.0,52.0,34.0,14.0,0.0
1805,Salem High School,722,High School,770.929.0176,1185.0,71.0,0.0,37.0,37.0,23.0,4.0
1806,Shoal Creek Elementary School,722,Elementary School,770.929.1430,741.0,55.0,0.0,46.0,31.0,20.0,4.0
1807,Lorraine Elementary School,722,Elementary School,770.483.0657,672.0,52.0,0.0,31.0,31.0,21.0,17.0
1808,Conyers Middle School,722,Middle School,770.483.3371,1023.0,67.0,2.0,45.0,36.0,18.0,0.0
1809,Hightower Trail Elementary School,722,Elementary School,770.388.0751,558.0,43.0,0.0,51.0,23.0,26.0,0.0
1810,Memorial Middle School,722,Middle School,770.922.0139,817.0,62.0,0.0,40.0,47.0,11.0,2.0
1811,Edwards Middle School,722,Middle School,770.483.3255,1006.0,69.0,0.0,41.0,41.0,17.0,1.0
1812,Flat Shoals Elementary School,722,Elementary School,770.483.5136,696.0,61.0,0.0,23.0,53.0,25.0,0.0
1813,Pine Street Elementary School,722,Elementary School,770.483.8713,636.0,48.0,0.0,44.0,35.0,19.0,2.0
1814,Rockdale County High School,722,High School,770.483.8754,2190.0,129.0,0.0,35.0,44.0,19.0,2.0
1815,House Elementary School,722,Elementary School,770.483.9504,656.0,57.0,0.0,42.0,35.0,21.0,2.0
1816,Schley Middle High School,723,High School,229.937.0560,703.0,49.0,10.0,33.0,25.0,25.0,8.0
1817,Schley County Elementary School,723,Elementary School,229.937.0550,533.0,44.0,2.0,21.0,27.0,36.0,14.0
1818,Screven County Elementary School,724,Elementary School,912.451.2100,1092.0,86.0,4.0,35.0,30.0,28.0,4.0
1819,Screven County Middle School,724,Middle School,912.451.2200,534.0,39.0,5.0,39.0,18.0,31.0,8.0
1820,Screven County High School,724,High School,912.451.2300,585.0,48.0,4.0,27.0,35.0,27.0,6.0
1821,Seminole County Middle/High School,725,High School,229.524.5135,770.0,56.0,0.0,27.0,38.0,30.0,5.0
1822,Seminole County Elementary School,725,Elementary School,229.524.5235,616.0,49.0,0.0,29.0,33.0,33.0,6.0
1823,Spalding High School,726,High School,770.229.3775,1340.0,78.0,6.0,37.0,36.0,21.0,0.0
1824,Moreland Road Elementary,726,Elementary School,770.229.3755,467.0,34.0,9.0,35.0,41.0,12.0,3.0
1825,Carver Road Middle School,726,Middle School,770.229.3739,497.0,36.0,22.0,47.0,22.0,8.0,0.0
1826,Kennedy Road Middle School,726,Middle School,770.229.3760,489.0,40.0,15.0,23.0,35.0,25.0,3.0
1827,Rehoboth Road Middle School,726,Middle School,770.229.3727,679.0,49.0,6.0,20.0,45.0,20.0,8.0
1828,Griffin High School,726,High School,770.229.3752,1436.0,83.0,10.0,46.0,30.0,11.0,4.0
1829,Cowan Road Elementary School,726,Elementary School,770.229.3790,530.0,40.0,3.0,45.0,30.0,18.0,5.0
1830,Jordan Hill Road Elementary School,726,Elementary School,770.229.3777,374.0,34.0,3.0,41.0,41.0,15.0,0.0
1831,Futral Road Elementary School,726,Elementary School,770.229.3735,613.0,42.0,2.0,29.0,41.0,24.0,5.0
1832,Cowan Road Middle School,726,Middle School,770.229.3722,611.0,45.0,4.0,56.0,22.0,18.0,0.0
1833,AZ Kelsey Academy,726,High School,770.229.4365,36.0,9.0,0.0,44.0,33.0,22.0,0.0
1834,Anne Street Elementary School,726,Elementary School,770.229.3746,366.0,28.0,4.0,39.0,43.0,11.0,4.0
1835,Jackson Road Elementary School,726,Elementary School,770.229.3717,378.0,29.0,3.0,24.0,48.0,17.0,7.0
1836,Atkinson Elementary School,726,Elementary School,770.229.3715,422.0,35.0,6.0,37.0,49.0,9.0,0.0
1837,Beaverbrook Elementary School,726,Elementary School,770.229.3750,342.0,25.0,8.0,44.0,24.0,16.0,8.0
1838,Crescent Road Elementary School,726,Elementary School,770.229.3719,383.0,26.0,4.0,27.0,15.0,54.0,0.0
1839,Moore Elementary School,726,Elementary School,770.229.3756,349.0,27.0,22.0,33.0,19.0,19.0,7.0
1840,Orrs Elementary School,726,Elementary School,770.229.3743,535.0,36.0,8.0,36.0,53.0,3.0,0.0
1841,Stephens County Middle School,727,Middle School,706.886.2880,923.0,67.0,2.0,34.0,31.0,33.0,0.0
1842,Liberty Elementary School,727,Elementary School,706.886.3934,600.0,43.0,0.0,37.0,37.0,26.0,0.0
1843,Big A Elementary School,727,Elementary School,706.886.2987,290.0,30.0,3.0,43.0,33.0,20.0,0.0
1844,Toccoa Elementary School,727,Elementary School,706.886.3129,563.0,40.0,0.0,23.0,48.0,28.0,3.0
1845,Stephens County Fifth Grade Academy,727,Elementary School,706.886.2880,310.0,38.0,3.0,29.0,45.0,21.0,3.0
1846,Stephens County High School,727,High School,706.886.6825,1106.0,75.0,1.0,37.0,33.0,23.0,5.0
1847,Stewart County Middle School,728,Middle School,229.838.4374,98.0,12.0,0.0,25.0,25.0,42.0,8.0
1848,Stewart County Elementary School,728,Elementary School,229.838.4374,199.0,20.0,0.0,40.0,35.0,20.0,5.0
1849,Stewart County High School,728,High School,229.838.4301,128.0,16.0,0.0,56.0,19.0,13.0,13.0
1850,Sumter County Primary School,729,Elementary School,229.924.1012,553.0,54.0,0.0,39.0,26.0,30.0,6.0
1851,Americus Sumter High School (Old Americus-Sumter HS S),729,High School,229.924.3653,808.0,57.0,2.0,28.0,49.0,16.0,5.0
1852,Sumter County Elementary School,729,Elementary School,229.924.7835,563.0,41.0,0.0,42.0,37.0,17.0,5.0
1853,Sumter County Middle School,729,Middle School,229.924.1010,566.0,39.0,3.0,54.0,33.0,10.0,0.0
1854,Americus Sumter 9th Grade Academy,729,High School,229.924.5914,265.0,25.0,0.0,48.0,28.0,20.0,4.0
1855,Furlow Charter School,729,K12,229.931.8667,560.0,36.0,14.0,42.0,36.0,8.0,0.0
1856,Sumter County Intermediate School,729,Elementary School,229.924.3168,926.0,63.0,0.0,54.0,29.0,10.0,8.0
1857,Central Elementary/High School,730,K12,706.665.8577,427.0,42.0,2.0,38.0,21.0,29.0,10.0
1858,Taliaferro County School,731,K12,706.456.2575,162.0,22.0,0.0,27.0,46.0,23.0,5.0
1859,North Tattnall Middle School,732,Middle School,912.557.3993,483.0,36.0,6.0,50.0,28.0,11.0,3.0
1860,Tattnall County High School,732,High School,912.557.4374,1001.0,58.0,5.0,38.0,28.0,22.0,7.0
1861,South Tattnall Middle School,732,Middle School,912.654.1467,346.0,28.0,7.0,36.0,36.0,18.0,4.0
1862,Collins Elementary School,732,Elementary School,912.693.2455,258.0,24.0,4.0,42.0,13.0,38.0,4.0
1863,Glennville Elementary School,732,Elementary School,912.654.3931,774.0,59.0,3.0,27.0,39.0,22.0,9.0
1864,Reidsville Elementary School,732,Elementary School,912.557.6711,705.0,58.0,0.0,43.0,33.0,19.0,5.0
1865,Taylor County Primary School,733,Elementary School,478.862.4855,294.0,21.0,0.0,24.0,29.0,38.0,10.0
1866,Taylor County Upper Elementary,733,Elementary School,478.862.5690,400.0,28.0,0.0,29.0,32.0,32.0,7.0
1867,Georgia Center,733,High School,478.847.2403,49.0,6.0,0.0,33.0,50.0,17.0,0.0
1868,Taylor County High School,733,High School,478.862.3314,407.0,26.0,4.0,35.0,23.0,27.0,12.0
1869,Taylor County Middle School,733,Middle School,478.862.5285,199.0,16.0,0.0,38.0,25.0,38.0,0.0
1870,Telfair County Middle School,734,Middle School,229.868.7465,377.0,28.0,4.0,21.0,43.0,29.0,4.0
1871,Telfair County Elementary,734,Elementary School,229.868.7483,759.0,53.0,2.0,32.0,32.0,32.0,2.0
1872,Telfair County High School,734,High School,229.868.6096,459.0,32.0,0.0,25.0,44.0,31.0,0.0
1873,Telfair Alternative Preparation School,734,High School,229.868.5661,22.0,1.0,0.0,0.0,0.0,100.0,0.0
1874,Terrell High School,735,High School,229.995.2544,344.0,25.0,0.0,32.0,20.0,24.0,24.0
1875,Terrell Middle School,735,Middle School,229.995.2828,300.0,22.0,0.0,46.0,14.0,27.0,14.0
1876,Cooper-Carver Elementary School,735,Elementary School,229.995.2843,561.0,43.0,12.0,33.0,23.0,23.0,9.0
1877,Bishop Hall Charter School,736,High School,229.227.1397,220.0,16.0,0.0,25.0,38.0,25.0,6.0
1878,Hand In Hand Primary,736,Elementary School,229.225.3908,384.0,50.0,4.0,52.0,22.0,16.0,6.0
1879,The Renaissance Center for Academic and Career Development,736,High School,229.227.3222,31.0,4.0,0.0,0.0,0.0,100.0,0.0
1880,Thomas County Central High School,736,High School,229.225.5050,1392.0,102.0,2.0,32.0,42.0,16.0,8.0
1881,Cross Creek Elementary School,736,Elementary School,229.225.3900,858.0,62.0,2.0,32.0,47.0,13.0,7.0
1882,Thomas County Middle School,736,Middle School,229.225.4394,1767.0,126.0,4.0,41.0,33.0,18.0,2.0
1883,Garrison-Pilcher Elementary School,736,Elementary School,229.225.4387,842.0,58.0,0.0,28.0,40.0,29.0,3.0
1884,Annie Belle Clark Elementary School,737,Elementary School,229.387.2410,645.0,48.0,0.0,23.0,40.0,31.0,6.0
1885,G. O. Bailey Elementary School,737,Elementary School,229.387.2415,484.0,35.0,3.0,51.0,34.0,11.0,0.0
1886,Tift County High School,737,High School,229.387.2475,2224.0,127.0,7.0,32.0,35.0,23.0,4.0
1887,Eighth Street Middle School,737,Middle School,229.387.2445,990.0,67.0,5.0,42.0,24.0,25.0,5.0
1888,J. T. Reddick Elementary School,737,Elementary School,229.387.2435,358.0,28.0,0.0,21.0,39.0,32.0,7.0
1889,Len Lastinger Elementary School,737,Elementary School,229.387.2420,411.0,33.0,0.0,33.0,27.0,36.0,3.0
1890,Northside Elementary School,737,Elementary School,229.387.2425,423.0,32.0,13.0,34.0,25.0,25.0,3.0
1891,Northeast Middle School,737,Middle School,229.387.2450,848.0,56.0,9.0,38.0,29.0,23.0,2.0
1892,Omega Elementary School,737,Elementary School,229.387.2418,375.0,31.0,3.0,39.0,45.0,13.0,0.0
1893,Matt Wilson Elementary School,737,Elementary School,229.387.2440,382.0,34.0,0.0,38.0,35.0,24.0,3.0
1894,Charles Spencer Elementary School,737,Elementary School,229.387.2430,376.0,32.0,6.0,41.0,31.0,19.0,3.0
1895,Toombs County Middle School,738,Middle School,912.526.8363,655.0,51.0,4.0,39.0,28.0,20.0,8.0
1896,Lyons Primary School,738,Elementary School,912.526.8391,434.0,44.0,9.0,43.0,18.0,21.0,9.0
1897,Toombs County High School,738,High School,912.526.4286,779.0,51.0,2.0,22.0,43.0,29.0,4.0
1898,Lyons Upper Elementary,738,Elementary School,912.526.5816,453.0,37.0,3.0,32.0,30.0,27.0,8.0
1899,Toombs Central Elementary School,738,Elementary School,912.565.7781,433.0,35.0,6.0,26.0,29.0,31.0,9.0
1900,Towns County Elementary School,739,Elementary School,706.896.4131,416.0,37.0,0.0,43.0,32.0,8.0,16.0
1901,Towns County Middle School,739,Middle School,706.896.4131,226.0,25.0,0.0,48.0,32.0,12.0,8.0
1902,Towns County High School,739,High School,706.896.4131,296.0,29.0,0.0,24.0,38.0,31.0,7.0
1903,Treutlen Elementary School,740,Elementary School,912.529.7161,542.0,42.0,0.0,31.0,36.0,29.0,5.0
1904,Treutlen Middle/High School,740,High School,912.529.7131,511.0,39.0,0.0,33.0,36.0,28.0,0.0
1905,Callaway Elementary School,741,Elementary School,706.845.2059,628.0,47.0,9.0,32.0,32.0,23.0,4.0
1906,West Point Elementary School,741,Elementary School,706.812.7973,357.0,29.0,0.0,38.0,31.0,28.0,3.0
1907,Long Cane Elementary School,741,Elementary School,706.812.7948,487.0,32.0,3.0,41.0,38.0,16.0,3.0
1908,Gardner-Newman Middle School,741,Middle School,706.883.1535,985.0,60.0,7.0,42.0,32.0,15.0,5.0
1909,Hollis Hand Elementary School,741,Elementary School,706.883.1580,547.0,35.0,0.0,20.0,37.0,31.0,11.0
1910,Callaway High School,741,High School,706.845.2070,810.0,50.0,12.0,32.0,32.0,20.0,4.0
1911,Callaway Middle School,741,Middle School,706.845.2080,750.0,47.0,4.0,47.0,23.0,17.0,9.0
1912,Franklin Forest Elementary,741,Elementary School,706.845.7556,653.0,48.0,4.0,38.0,23.0,31.0,4.0
1913,Bradfield Center - Ault Academy,741,High School,706.884.1717,38.0,7.0,14.0,57.0,14.0,14.0,0.0
1914,Long Cane Middle School,741,Middle School,706.845.2085,1014.0,64.0,5.0,36.0,34.0,23.0,2.0
1915,Troup County High School,741,High School,706.812.7957,1312.0,71.0,6.0,31.0,31.0,27.0,6.0
1916,Hogansville Elementary School,741,Elementary School,706.812.7990,438.0,40.0,13.0,45.0,15.0,28.0,0.0
1917,Ethel W. Kight Elementary School,741,Elementary School,706.812.7943,552.0,45.0,7.0,44.0,24.0,20.0,4.0
1918,Clearview Elementary School,741,Elementary School,706.812.7900,677.0,44.0,7.0,39.0,30.0,18.0,7.0
1920,LaGrange High School,741,High School,706.883.1590,1198.0,66.0,5.0,32.0,38.0,20.0,6.0
1921,Hillcrest Elementary School,741,Elementary School,706.812.7940,341.0,24.0,4.0,25.0,38.0,33.0,0.0
1922,Rosemont Elementary School,741,Elementary School,706.812.7954,512.0,34.0,9.0,27.0,44.0,18.0,3.0
1923,Berta Weathersbee Elementary School,741,Elementary School,706.883.1570,279.0,26.0,4.0,58.0,15.0,12.0,12.0
1924,Turner County Middle School,742,Middle School,229.567.4343,274.0,20.0,5.0,45.0,40.0,5.0,5.0
1925,Turner County Elementary School,742,Elementary School,229.567.2461,521.0,39.0,8.0,33.0,31.0,26.0,3.0
1926,Turner County High School,742,High School,229.567.4377,335.0,27.0,19.0,33.0,15.0,30.0,4.0
1927,Jeffersonville Elementary,743,Elementary School,478.945.3127,328.0,24.0,4.0,46.0,33.0,13.0,4.0
1928,Twiggs County High School,743,High School,478.945.3112,240.0,18.0,6.0,72.0,17.0,6.0,0.0
1929,Twiggs Middle School,743,Middle School,478.945.3113,178.0,12.0,8.0,50.0,25.0,17.0,0.0
1930,Union County High School,744,High School,706.745.2216,860.0,64.0,6.0,22.0,36.0,28.0,8.0
1931,Union County Elementary School,744,Elementary School,706.745.9615,588.0,45.0,7.0,27.0,31.0,29.0,7.0
1932,Union County Middle School,744,Middle School,706.745.2483,680.0,46.0,11.0,24.0,33.0,20.0,13.0
1933,Union County Primary School,744,Elementary School,706.745.5450,573.0,56.0,9.0,34.0,32.0,23.0,2.0
1934,Woody Gap High/Elementary School,744,K12,706.747.2401,60.0,13.0,8.0,23.0,31.0,23.0,15.0
1935,Upson-Lee Primary School,745,Elementary School,706.647.7516,892.0,64.0,6.0,23.0,31.0,30.0,9.0
1936,Upson-Lee High School,745,High School,706.647.8171,1224.0,75.0,8.0,43.0,32.0,15.0,3.0
1937,Upson-Lee Elementary School,745,Elementary School,706.647.3632,897.0,60.0,7.0,32.0,32.0,25.0,5.0
1938,Upson-Lee Middle School,745,Middle School,706.647.6256,928.0,67.0,5.0,42.0,36.0,15.0,3.0
1939,Rock Spring Elementary School,746,Elementary School,706.764.1383,351.0,40.0,5.0,43.0,28.0,13.0,13.0
1940,Chattanooga Valley Middle School,746,Middle School,706.820.0735,506.0,45.0,0.0,44.0,22.0,31.0,2.0
1941,Saddle Ridge Elementary and Middle School,746,Middle School,706.375.1219,599.0,53.0,6.0,40.0,32.0,17.0,6.0
1942,LaFayette Middle School,746,Middle School,706.638.6440,621.0,58.0,9.0,36.0,36.0,12.0,7.0
1943,Ridgeland High School,746,High School,706.820.9361,1309.0,88.0,6.0,46.0,28.0,16.0,5.0
1944,Rossville Elementary School,746,Elementary School,706.866.5901,397.0,45.0,9.0,40.0,47.0,4.0,0.0
1945,Gilbert Elementary School,746,Elementary School,706.638.2432,446.0,45.0,7.0,44.0,31.0,13.0,4.0
1946,LaFayette High School,746,High School,706.638.2342,1137.0,79.0,5.0,44.0,27.0,19.0,5.0
1947,Cherokee Ridge Elementary,746,Elementary School,706.375.9831,564.0,54.0,7.0,35.0,37.0,13.0,7.0
1948,North LaFayette Elementary School,746,Elementary School,706.638.1869,417.0,39.0,8.0,31.0,46.0,8.0,8.0
1949,Rossville Middle School,746,Middle School,706.820.0638,517.0,52.0,8.0,33.0,44.0,8.0,8.0
1950,Fairyland Elementary School,746,Elementary School,706.820.1171,261.0,26.0,0.0,35.0,50.0,8.0,8.0
1951,Naomi Elementary School,746,Elementary School,706.638.2443,317.0,34.0,0.0,50.0,32.0,12.0,6.0
1952,Chattanooga Valley Elementary School,746,Elementary School,706.820.2511,507.0,42.0,0.0,38.0,38.0,21.0,2.0
1953,Stone Creek Elementary School,746,Elementary School,706.866.3600,415.0,39.0,13.0,51.0,15.0,18.0,3.0
1954,Atha Road Elementary School,747,Elementary School,770.266.5995,785.0,54.0,0.0,30.0,54.0,15.0,2.0
1955,Youth Middle School,747,Middle School,770.466.6849,1107.0,62.0,0.0,19.0,45.0,31.0,5.0
1956,Monroe Elementary,747,Elementary School,770.207.3205,533.0,38.0,0.0,21.0,63.0,11.0,5.0
1957,Sharon Elementary School,747,Elementary School,678.684.2850,750.0,53.0,0.0,15.0,51.0,32.0,2.0
1958,Walnut Grove High School,747,High School,678.507.3900,1359.0,80.0,1.0,39.0,45.0,15.0,0.0
1959,Harmony Elementary School,747,Elementary School,770.267.6574,647.0,46.0,0.0,28.0,44.0,22.0,7.0
1960,Bay Creek Elementary School,747,Elementary School,770.466.2271,641.0,42.0,2.0,26.0,36.0,33.0,2.0
1961,Loganville Elementary School,747,Elementary School,678.684.2840,928.0,62.0,2.0,21.0,44.0,31.0,3.0
1962,Carver Middle School,747,Middle School,770.267.6000,843.0,54.0,2.0,33.0,43.0,20.0,2.0
1963,Walnut Grove Elementary School,747,Elementary School,770.784.0023,628.0,48.0,2.0,23.0,40.0,29.0,6.0
1964,Loganville High School,747,High School,678.684.2880,1661.0,91.0,0.0,22.0,46.0,29.0,3.0
1965,Youth Elementary School,747,Elementary School,770.554.0172,732.0,55.0,4.0,27.0,33.0,33.0,4.0
1966,Monroe Area High School,747,High School,770.266.4599,1045.0,70.0,1.0,24.0,46.0,27.0,1.0
1967,Loganville Middle School,747,Middle School,678.684.2960,1315.0,71.0,0.0,30.0,48.0,18.0,4.0
1968,Walker Park Elementary School,747,Elementary School,770.267.8311,593.0,42.0,2.0,24.0,48.0,21.0,5.0
1969,Ware County High School,748,High School,912.287.2351,1531.0,104.0,3.0,30.0,43.0,19.0,5.0
1970,Williams Heights Elementary School,748,Elementary School,912.287.2399,443.0,36.0,3.0,42.0,28.0,22.0,6.0
1971,Waycross Middle School,748,Middle School,912.287.2333,584.0,44.0,2.0,46.0,39.0,14.0,0.0
1972,Center Elementary School,748,Elementary School,912.287.2366,568.0,41.0,5.0,37.0,39.0,17.0,2.0
1973,Ware County Middle School,748,Middle School,912.287.2341,809.0,54.0,6.0,32.0,33.0,24.0,6.0
1974,Ruskin Elementary School,748,Elementary School,912.287.2325,436.0,33.0,9.0,27.0,36.0,27.0,0.0
1975,Memorial Drive Elementary School,748,Elementary School,912.287.2327,369.0,29.0,3.0,59.0,21.0,7.0,10.0
1976,Waresboro Elementary School,748,Elementary School,912.287.2393,436.0,35.0,3.0,29.0,23.0,31.0,14.0
1977,Wacona Elementary School,748,Elementary School,912.287.2362,633.0,47.0,2.0,43.0,34.0,15.0,6.0
1978,Warren County Middle School,749,Middle School,706.465.3742,130.0,13.0,0.0,23.0,46.0,23.0,8.0
1979,Warren County High School,749,High School,706.465.3742,164.0,16.0,6.0,25.0,38.0,19.0,13.0
1980,Freeman Elementary School,749,Elementary School,706.465.3342,301.0,31.0,7.0,32.0,36.0,23.0,3.0
1981,T. J. Elder Middle School,750,Middle School,478.552.2007,733.0,48.0,4.0,33.0,35.0,27.0,0.0
1982,Washington County High School,750,High School,478.552.2324,867.0,51.0,4.0,33.0,41.0,16.0,6.0
1983,Ridge Road Primary School,750,Elementary School,478.552.6047,672.0,46.0,2.0,30.0,28.0,37.0,2.0
1984,Ridge Road Elementary School,750,Elementary School,478.552.2245,756.0,45.0,4.0,36.0,33.0,27.0,0.0
1985,Wayne County High School,751,High School,912.427.1088,1445.0,94.0,9.0,27.0,40.0,18.0,6.0
1986,Martha Puckett Middle School,751,Middle School,912.427.1061,622.0,42.0,5.0,45.0,29.0,19.0,2.0
1987,Arthur Williams Middle School,751,Middle School,912.427.1025,621.0,44.0,2.0,34.0,43.0,16.0,5.0
1988,Martha Rawls Smith Elementary School,751,Elementary School,912.427.1044,522.0,44.0,5.0,55.0,21.0,18.0,2.0
1989,Bacon Elementary School,751,Elementary School,912.427.1077,621.0,51.0,6.0,39.0,31.0,22.0,2.0
1990,Jesup Elementary School,751,Elementary School,912.427.1033,691.0,49.0,4.0,37.0,31.0,25.0,4.0
1991,Screven Elementary School,751,Elementary School,912.579.2261,220.0,17.0,12.0,18.0,41.0,24.0,6.0
1992,Odum Elementary School,751,Elementary School,912.586.2225,365.0,26.0,4.0,23.0,31.0,39.0,4.0
1993,Webster County Elementary/Middle School,752,Elementary School,229.828.3365,209.0,23.0,0.0,22.0,44.0,22.0,13.0
1994,Webster County High School,752,High School,229.828.3365,87.0,8.0,0.0,25.0,50.0,25.0,0.0
1995,Wheeler County Elementary School,753,Elementary School,912.568.7159,417.0,36.0,3.0,28.0,33.0,33.0,3.0
1996,Wheeler County Middle School,753,Middle School,912.568.7166,228.0,19.0,5.0,26.0,42.0,21.0,5.0
1997,Wheeler County High School,753,High School,912.568.7166,296.0,22.0,18.0,32.0,14.0,18.0,18.0
1998,Tesnatee Gap Elementary (Old White Co. Intermediate),754,Elementary School,706.865.1037,452.0,35.0,3.0,34.0,26.0,34.0,3.0
1999,Mount Yonah Elementary School,754,Elementary School,706.865.3514,469.0,34.0,0.0,35.0,47.0,18.0,0.0
2000,White County High School,754,High School,706.865.2312,1132.0,68.0,3.0,28.0,43.0,24.0,3.0
2001,Mossy Creek Elementary School,754,Elementary School,706.865.5000,381.0,31.0,0.0,19.0,65.0,16.0,0.0
2002,White County Middle School,754,Middle School,706.865.4060,929.0,59.0,5.0,31.0,32.0,31.0,2.0
2003,Jack P Nix Elementary School,754,Elementary School,706.865.6935,439.0,35.0,3.0,37.0,46.0,11.0,3.0
2004,New Hope Middle School,755,Middle School,706.673.2295,586.0,39.0,3.0,33.0,44.0,21.0,0.0
2005,Coahulla Creek High School,755,High School,706.694.4900,1060.0,52.0,0.0,40.0,42.0,17.0,0.0
2006,Northwest Whitfield County High School,755,High School,706.673.6533,1316.0,72.0,1.0,25.0,39.0,33.0,1.0
2007,New Hope Elementary School,755,Elementary School,706.673.3180,586.0,38.0,3.0,21.0,34.0,42.0,0.0
2008,Beaverdale Elementary School,755,Elementary School,706.275.4414,355.0,31.0,10.0,48.0,23.0,19.0,0.0
2009,Cedar Ridge Elementary,755,Elementary School,706.712.8400,439.0,36.0,6.0,56.0,28.0,8.0,3.0
2010,Phoenix High School,755,High School,706.876.3600,126.0,10.0,0.0,0.0,20.0,80.0,0.0
2011,Southeast Whitfield County High School,755,High School,706.226.2753,1417.0,77.0,5.0,36.0,40.0,17.0,1.0
2012,Eastbrook Middle School,755,Middle School,706.278.6135,713.0,46.0,4.0,50.0,30.0,15.0,0.0
2013,North Whitfield Middle School,755,Middle School,706.259.3381,786.0,52.0,4.0,44.0,31.0,21.0,0.0
2014,Valley Point Middle School,755,Middle School,706.277.9662,451.0,35.0,11.0,37.0,40.0,11.0,0.0
2015,Westside Middle School,755,Middle School,706.673.2611,486.0,35.0,3.0,37.0,49.0,11.0,0.0
